keyword,search_volume,kd,current_rank,intent,target_page,priority,notes
ai fashion model,22200,62,,commercial,/ai-fashion-model,high,
virtual try on,40500,72,,commercial,/ai-fashion-model,high,
ai model clothing,4400,38,,commercial,/ai-fashion-model,high,
ai model for ecommerce,2900,35,,commercial,/ai-fashion-model,high,长尾
ai model product photo,1600,32,,commercial,/ai-fashion-model,high,
virtual model fashion,2400,28,,commercial,/ai-fashion-model,medium,
midjourney alternative,12100,68,,commercial,/ezpixy-vs-midjourney,high,
ai clothing model free,880,22,,commercial,/ezpixy,high,免费长尾
shopify product image ai,1900,38,,commercial,/ai-fashion-model,medium,
ai model for 1688,720,28,,commercial,/ai-fashion-model,high,中文长尾
