keyword,search_volume,kd,current_rank,intent,target_page,priority,notes
webdav chrome extension,8100,38,,commercial,/webdavy,high,
webdav client,12100,52,,commercial,/webdavy,high,
webdav client windows,4400,41,,commercial,/webdavy-vs-raidrive,high,
webdav client mac,3600,39,,commercial,/webdavy,medium,Mac 友好
nextcloud chrome,2400,32,,commercial,/webdav-chrome-setup,high,
坚果云 chrome 扩展,1900,28,,commercial,/webdav-chrome-setup,high,中文长尾
群晖 webdav,8200,45,,informational,/webdav-chrome-setup,high,
owncloud browser,2900,35,,commercial,/webdavy,medium,
webdav setup guide,1600,24,,informational,/webdav-chrome-setup,high,how-to 流量
raidrive alternative,880,22,,commercial,/webdavy-vs-raidrive,high,对比词
